1	20060910	11001	3	Clothing	24	Tights
2	20060910	11001	4	Accessories	30	Fenders
3	20060910	11001	4	Accessories	32	Hydration Packs
4	20061026	11017	3	Clothing	22	Shorts
5	20061026	11017	4	Accessories	28	Bottles and Cages
6	20061008	11019	4	Accessories	34	Locks
7	20061016	11026	4	Accessories	28	Bottles and Cages
8	20060911	11033	3	Clothing	21	Jerseys
9	20060911	11033	3	Clothing	23	Socks
10	20060911	11033	3	Clothing	24	Tights
11	20060904	11037	4	Accessories	31	Helmets
12	20060904	11037	4	Accessories	32	Hydration Packs
13	20060912	11047	3	Clothing	22	Shorts
14	20060912	11047	3	Clothing	23	Socks
15	20060912	11047	4	Accessories	30	Fenders
16	20061028	11048	4	Accessories	32	Hydration Packs
17	20061028	11048	4	Accessories	36	Pumps
18	20060913	11054	3	Clothing	18	Bib-Shorts
19	20061010	11057	4	Accessories	36	Pumps
20	20061019	11070	4	Accessories	29	Cleaners
21	20061019	11070	4	Accessories	31	Helmets
22	20061007	11078	4	Accessories	31	Helmets
23	20060915	11079	3	Clothing	21	Jerseys
24	20060915	11079	4	Accessories	27	Bike Stands
25	20060915	11079	4	Accessories	37	Tires and Tubes
26	20060927	11109	3	Clothing	25	Vests
27	20060910	11110	3	Clothing	21	Jerseys
28	20060925	11111	3	Clothing	20	Gloves
29	20060925	11111	4	Accessories	30	Fenders
30	20060925	11111	4	Accessories	32	Hydration Packs
31	20061029	11123	4	Accessories	31	Helmets
32	20061029	11123	4	Accessories	33	Lights
33	20061029	11123	4	Accessories	37	Tires and Tubes
34	20060926	11125	4	Accessories	36	Pumps
35	20061029	11132	3	Clothing	23	Socks
36	20060922	11142	3	Clothing	19	Caps
37	20061012	11150	3	Clothing	21	Jerseys
38	20061012	11150	4	Accessories	31	Helmets
39	20060905	11223	4	Accessories	35	Panniers
40	20060904	11276	3	Clothing	23	Socks
41	20060904	11276	4	Accessories	34	Locks
42	20060904	11287	3	Clothing	24	Tights
43	20060904	11287	4	Accessories	33	Lights
44	20060908	11300	4	Accessories	31	Helmets
45	20060926	11316	3	Clothing	25	Vests
46	20060926	11316	4	Accessories	28	Bottles and Cages
47	20060926	11316	4	Accessories	34	Locks
48	20061019	11331	3	Clothing	20	Gloves
49	20061019	11331	3	Clothing	24	Tights
50	20060918	11335	4	Accessories	26	Bike Racks
51	20060902	11338	4	Accessories	32	Hydration Packs
52	20060917	11344	4	Accessories	27	Bike Stands
53	20060905	11358	4	Accessories	27	Bike Stands
54	20060905	11358	4	Accessories	28	Bottles and Cages
55	20061025	11364	3	Clothing	24	Tights
56	20061002	11387	4	Accessories	31	Helmets
57	20061003	11413	3	Clothing	25	Vests
58	20061003	11413	4	Accessories	37	Tires and Tubes
59	20061008	11431	4	Accessories	27	Bike Stands
60	20061012	11446	3	Clothing	22	Shorts
61	20060912	11449	4	Accessories	28	Bottles and Cages
62	20061011	11464	4	Accessories	27	Bike Stands
63	20060914	11495	4	Accessories	33	Lights
64	20061011	11498	3	Clothing	21	Jerseys
65	20061011	11498	3	Clothing	22	Shorts
66	20061011	11498	4	Accessories	29	Cleaners
67	20061009	11500	4	Accessories	36	Pumps
68	20060926	11502	3	Clothing	21	Jerseys
69	20060926	11502	3	Clothing	23	Socks
70	20060923	11505	4	Accessories	30	Fenders
71	20060923	11505	4	Accessories	34	Locks
72	20060923	11505	4	Accessories	37	Tires and Tubes
73	20061005	11510	3	Clothing	25	Vests
74	20061028	11519	4	Accessories	37	Tires and Tubes
